,video_frame,left,width,top,height,conf,game_play,video,frame,x,y,y_im,frame_int
310784,57910_001164_Sideline_1,445,15,334,18,0.7675781,57910_001164,57910_001164_Sideline.mp4,1,453.0,343.0,377.0,1
310785,57910_001164_Sideline_1,494,12,351,19,0.77734375,57910_001164,57910_001164_Sideline.mp4,1,500.0,361.0,359.0,1
310786,57910_001164_Sideline_1,503,14,258,18,0.78027344,57910_001164,57910_001164_Sideline.mp4,1,510.0,267.0,453.0,1
310787,57910_001164_Sideline_1,440,14,356,16,0.81591797,57910_001164,57910_001164_Sideline.mp4,1,447.0,364.0,356.0,1
310788,57910_001164_Sideline_1,452,13,276,18,0.82373047,57910_001164,57910_001164_Sideline.mp4,1,458.0,285.0,435.0,1
310789,57910_001164_Sideline_1,416,16,283,18,0.83203125,57910_001164,57910_001164_Sideline.mp4,1,424.0,292.0,428.0,1
310790,57910_001164_Sideline_1,584,19,531,16,0.83496094,57910_001164,57910_001164_Sideline.mp4,1,594.0,539.0,181.0,1
310791,57910_001164_Sideline_1,449,15,252,18,0.8359375,57910_001164,57910_001164_Sideline.mp4,1,457.0,261.0,459.0,1
310792,57910_001164_Sideline_1,464,15,298,18,0.8388672,57910_001164,57910_001164_Sideline.mp4,1,472.0,307.0,413.0,1
310793,57910_001164_Sideline_1,287,16,294,17,0.8408203,57910_001164,57910_001164_Sideline.mp4,1,295.0,302.0,418.0,1
310794,57910_001164_Sideline_1,498,16,284,22,0.8457031,57910_001164,57910_001164_Sideline.mp4,1,506.0,295.0,425.0,1
310795,57910_001164_Sideline_1,409,15,221,17,0.8520508,57910_001164,57910_001164_Sideline.mp4,1,417.0,229.0,491.0,1
310796,57910_001164_Sideline_1,630,18,300,18,0.85595703,57910_001164,57910_001164_Sideline.mp4,1,639.0,309.0,411.0,1
310797,57910_001164_Sideline_1,870,14,174,15,0.85595703,57910_001164,57910_001164_Sideline.mp4,1,877.0,182.0,538.0,1
310798,57910_001164_Sideline_1,468,15,128,19,0.86083984,57910_001164,57910_001164_Sideline.mp4,1,476.0,138.0,582.0,1
310799,57910_001164_Sideline_1,426,17,518,18,0.86279297,57910_001164,57910_001164_Sideline.mp4,1,434.0,527.0,193.0,1
310800,57910_001164_Sideline_1,554,16,348,16,0.8642578,57910_001164,57910_001164_Sideline.mp4,1,562.0,356.0,364.0,1
310801,57910_001164_Sideline_1,152,16,279,17,0.8701172,57910_001164,57910_001164_Sideline.mp4,1,160.0,287.0,433.0,1
310802,57910_001164_Sideline_1,1080,18,341,17,0.8730469,57910_001164,57910_001164_Sideline.mp4,1,1089.0,349.0,371.0,1
310803,57910_001164_Sideline_1,576,16,231,17,0.87597656,57910_001164,57910_001164_Sideline.mp4,1,584.0,239.0,481.0,1
310804,57910_001164_Sideline_1,811,14,94,17,0.8769531,57910_001164,57910_001164_Sideline.mp4,1,818.0,102.0,618.0,1
310805,57910_001164_Sideline_1,634,18,241,18,0.8769531,57910_001164,57910_001164_Sideline.mp4,1,643.0,250.0,470.0,1
310874,57910_001164_Sideline_5,445,15,334,18,0.77734375,57910_001164,57910_001164_Sideline.mp4,5,453.0,343.0,377.0,5
