,video_frame,left,width,top,height,label,video,frame,x,y,top_deepsort,deepsort_cluster,label_deepsort,label_count_deepsort,track_confidence
0,57783_003374_Sideline_1,174,14,258,14,V25,57783_003374_Sideline,1,181.0,265.0,,,,,
1,57783_003374_Sideline_1,836,12,54,14,H15,57783_003374_Sideline,1,842.0,61.0,,,,,
2,57783_003374_Sideline_1,808,14,182,16,H14,57783_003374_Sideline,1,815.0,190.0,,,,,
3,57783_003374_Sideline_1,761,11,59,15,H72,57783_003374_Sideline,1,767.0,67.0,,,,,
4,57783_003374_Sideline_1,734,14,364,15,V24,57783_003374_Sideline,1,741.0,372.0,,,,,
5,57783_003374_Sideline_1,735,13,317,15,H12,57783_003374_Sideline,1,741.0,325.0,,,,,
6,57783_003374_Sideline_1,720,14,346,15,H73,57783_003374_Sideline,1,727.0,354.0,,,,,
7,57783_003374_Sideline_1,712,15,484,17,H81,57783_003374_Sideline,1,720.0,492.0,,,,,
8,57783_003374_Sideline_1,708,13,427,16,H56,57783_003374_Sideline,1,714.0,435.0,,,,,
9,57783_003374_Sideline_1,706,14,403,15,H74,57783_003374_Sideline,1,713.0,411.0,,,,,
10,57783_003374_Sideline_1,706,12,294,18,H62,57783_003374_Sideline,1,712.0,303.0,,,,,
11,57783_003374_Sideline_1,973,15,386,16,H25,57783_003374_Sideline,1,981.0,394.0,,,,,
12,57783_003374_Sideline_1,694,15,372,16,V90,57783_003374_Sideline,1,702.0,380.0,,,,,
13,57783_003374_Sideline_1,686,13,361,16,V99,57783_003374_Sideline,1,692.0,369.0,,,,,
14,57783_003374_Sideline_1,664,13,420,16,V96,57783_003374_Sideline,1,670.0,428.0,,,,,
15,57783_003374_Sideline_1,643,13,188,15,V98,57783_003374_Sideline,1,649.0,196.0,,,,,
16,57783_003374_Sideline_1,642,14,474,15,V57,57783_003374_Sideline,1,649.0,482.0,,,,,
17,57783_003374_Sideline_1,540,14,301,17,V31,57783_003374_Sideline,1,547.0,309.0,,,,,
18,57783_003374_Sideline_1,524,16,498,16,V54,57783_003374_Sideline,1,532.0,506.0,,,,,
19,57783_003374_Sideline_1,498,16,414,16,V38,57783_003374_Sideline,1,506.0,422.0,,,,,
20,57783_003374_Sideline_1,496,16,359,15,V55,57783_003374_Sideline,1,504.0,367.0,,,,,
21,57783_003374_Sideline_1,694,16,459,17,H78,57783_003374_Sideline,1,702.0,467.0,,,,,
22,57783_003374_Sideline_2,712,16,484,17,H81,57783_003374_Sideline,2,720.0,492.0,,,,,
23,57783_003374_Sideline_2,720,14,346,15,H73,57783_003374_Sideline,2,727.0,354.0,,,,,
24,57783_003374_Sideline_2,735,13,317,15,H12,57783_003374_Sideline,2,741.0,325.0,,,,,
25,57783_003374_Sideline_2,836,12,54,14,H15,57783_003374_Sideline,2,842.0,61.0,,,,,
26,57783_003374_Sideline_2,761,11,59,15,H72,57783_003374_Sideline,2,767.0,67.0,,,,,
27,57783_003374_Sideline_2,808,14,182,16,H14,57783_003374_Sideline,2,815.0,190.0,,,,,
28,57783_003374_Sideline_2,708,13,427,16,H56,57783_003374_Sideline,2,714.0,435.0,,,,,
29,57783_003374_Sideline_2,734,14,364,15,V24,57783_003374_Sideline,2,741.0,372.0,,,,,
30,57783_003374_Sideline_2,706,14,403,15,H74,57783_003374_Sideline,2,713.0,411.0,,,,,
31,57783_003374_Sideline_2,664,13,420,16,V96,57783_003374_Sideline,2,670.0,428.0,,,,,
32,57783_003374_Sideline_2,694,16,459,17,H78,57783_003374_Sideline,2,702.0,467.0,,,,,
33,57783_003374_Sideline_2,694,15,372,16,V90,57783_003374_Sideline,2,702.0,380.0,,,,,
34,57783_003374_Sideline_2,686,12,361,16,V99,57783_003374_Sideline,2,692.0,369.0,,,,,
35,57783_003374_Sideline_2,643,13,188,15,V98,57783_003374_Sideline,2,649.0,196.0,,,,,
36,57783_003374_Sideline_2,642,14,474,15,V57,57783_003374_Sideline,2,649.0,482.0,,,,,
37,57783_003374_Sideline_2,540,14,301,17,V31,57783_003374_Sideline,2,547.0,309.0,,,,,
38,57783_003374_Sideline_2,524,16,498,16,V54,57783_003374_Sideline,2,532.0,506.0,,,,,
39,57783_003374_Sideline_2,498,16,414,16,V38,57783_003374_Sideline,2,506.0,422.0,,,,,
40,57783_003374_Sideline_2,973,15,386,16,H25,57783_003374_Sideline,2,981.0,394.0,,,,,
41,57783_003374_Sideline_2,706,12,294,18,H62,57783_003374_Sideline,2,712.0,303.0,,,,,
42,57783_003374_Sideline_2,496,16,359,15,V55,57783_003374_Sideline,2,504.0,367.0,,,,,
43,57783_003374_Sideline_2,175,12,259,14,V25,57783_003374_Sideline,2,181.0,266.0,,,,,
0,57783_003374_Sideline_3,174,13,259,14,V25,57783_003374_Sideline,3,180.0,266.0,259.0,1.0,V25,48.0,1.0
1,57783_003374_Sideline_3,496,16,359,15,V55,57783_003374_Sideline,3,504.0,367.0,359.0,21.0,V55,35.0,0.8974358974358975
2,57783_003374_Sideline_3,498,16,414,15,V38,57783_003374_Sideline,3,506.0,422.0,414.0,20.0,V38,44.0,0.7719298245614035
