,gameKey,playID,player,time,x,y,s,a,dis,o,dir,event,game_play,snap,isSnap,team,snap_offset,est_frame
128285,57783,3374,H74,2018-12-16 20:22:24.200000+00:00,51.28,21.43,0.0,0.0,0.0,28.76,62.4,huddle_start_offense,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-16.3,-967
128286,57783,3374,H74,2018-12-16 20:22:24.299000+00:00,51.28,21.43,0.0,0.0,0.0,28.76,60.28,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-16.201,-961
128287,57783,3374,H74,2018-12-16 20:22:24.400000+00:00,51.28,21.43,0.0,0.0,0.01,28.76,57.28,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-16.1,-955
128288,57783,3374,H74,2018-12-16 20:22:24.500000+00:00,51.3,21.44,0.03,0.94,0.02,28.76,46.75,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-16.0,-949
128289,57783,3374,H74,2018-12-16 20:22:24.599000+00:00,51.33,21.48,0.18,1.65,0.05,28.76,45.3,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.901,-943
128290,57783,3374,H74,2018-12-16 20:22:24.700000+00:00,51.38,21.53,0.38,1.89,0.08,26.33,43.53,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.8,-937
128291,57783,3374,H74,2018-12-16 20:22:24.799000+00:00,51.45,21.61,0.6,1.81,0.1,26.33,42.02,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.701,-931
128292,57783,3374,H74,2018-12-16 20:22:24.900000+00:00,51.51,21.69,0.73,1.13,0.1,26.33,39.91,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.6,-925
128293,57783,3374,H74,2018-12-16 20:22:25+00:00,51.55,21.76,0.78,0.49,0.09,25.07,36.29,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.5,-919
128294,57783,3374,H74,2018-12-16 20:22:25.099000+00:00,51.59,21.83,0.78,0.41,0.08,24.15,33.7,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.401,-913
128295,57783,3374,H74,2018-12-16 20:22:25.200000+00:00,51.61,21.89,0.73,0.67,0.07,22.99,29.91,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.3,-907
128296,57783,3374,H74,2018-12-16 20:22:25.299000+00:00,51.62,21.94,0.65,0.92,0.05,21.76,25.15,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.201,-901
128297,57783,3374,H74,2018-12-16 20:22:25.400000+00:00,51.64,21.98,0.57,0.82,0.05,21.08,24.44,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.1,-895
128298,57783,3374,H74,2018-12-16 20:22:25.500000+00:00,51.65,22.03,0.51,0.68,0.04,21.08,20.78,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-15.0,-889
128299,57783,3374,H74,2018-12-16 20:22:25.599000+00:00,51.67,22.06,0.45,0.59,0.03,21.08,20.58,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-14.901,-883
128300,57783,3374,H74,2018-12-16 20:22:25.700000+00:00,51.68,22.09,0.4,0.51,0.03,21.08,20.04,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-14.8,-877
128301,57783,3374,H74,2018-12-16 20:22:25.799000+00:00,51.7,22.1,0.35,0.45,0.03,21.08,25.38,,57783_003374,2018-12-16 20:22:40.500000+00:00,False,Home,-14.701,-871
