,video_frame,gameKey,playID,view,video,frame,label,left,width,top,height,impactType,isDefinitiveImpact,isSidelinePlayer,x,y,y_im,game_play
532296,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V33,152,15,280,16,None,False,False,160.0,288.0,432.0,57910_001164
532297,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V46,286,16,293,19,None,False,False,294.0,303.0,417.0,57910_001164
532298,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V83,409,15,221,16,None,False,False,417.0,229.0,491.0,57910_001164
532299,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V9,418,12,285,14,None,False,False,424.0,292.0,428.0,57910_001164
532300,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V11,428,15,519,15,None,False,False,436.0,527.0,193.0,57910_001164
532301,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V71,441,13,356,14,None,False,False,447.0,363.0,357.0,57910_001164
532302,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V60,444,13,335,16,None,False,False,450.0,343.0,377.0,57910_001164
532303,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V68,449,14,251,18,None,False,False,456.0,260.0,460.0,57910_001164
532304,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V66,453,11,276,17,None,False,False,459.0,284.0,436.0,57910_001164
532305,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V77,463,15,298,18,None,False,False,471.0,307.0,413.0,57910_001164
532306,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,V19,469,13,129,16,None,False,False,475.0,137.0,583.0,57910_001164
532307,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H95,492,14,351,15,None,False,False,499.0,359.0,361.0,57910_001164
532308,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H98,498,15,286,15,None,False,False,506.0,294.0,426.0,57910_001164
532309,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H97,503,14,257,15,None,False,False,510.0,265.0,455.0,57910_001164
532310,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H55,555,14,349,14,None,False,False,562.0,356.0,364.0,57910_001164
532311,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H56,576,16,230,17,None,False,False,584.0,238.0,482.0,57910_001164
532312,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H20,584,14,534,13,None,False,False,591.0,540.0,180.0,57910_001164
532313,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H59,630,15,302,15,None,False,False,638.0,310.0,410.0,57910_001164
532314,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H58,634,17,241,16,None,False,False,642.0,249.0,471.0,57910_001164
532315,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H33,811,13,94,16,None,False,False,817.0,102.0,618.0,57910_001164
532316,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H32,870,15,174,12,None,False,False,878.0,180.0,540.0,57910_001164
532317,57910_001164_Sideline_1,57910,1164,Sideline,57910_001164_Sideline.mp4,1,H36,1080,18,341,18,None,False,False,1089.0,350.0,370.0,57910_001164
532318,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V33,152,15,279,17,None,False,False,160.0,287.0,433.0,57910_001164
532319,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V46,286,16,293,19,None,False,False,294.0,303.0,417.0,57910_001164
532320,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V83,411,16,221,16,None,False,False,419.0,229.0,491.0,57910_001164
532321,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V9,416,14,285,14,None,False,False,423.0,292.0,428.0,57910_001164
532322,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V11,428,14,519,15,None,False,False,435.0,527.0,193.0,57910_001164
532323,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V71,440,14,357,13,None,False,False,447.0,363.0,357.0,57910_001164
532324,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V60,443,14,334,18,None,False,False,450.0,343.0,377.0,57910_001164
532325,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V68,448,16,252,17,None,False,False,456.0,260.0,460.0,57910_001164
532326,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V66,453,11,276,13,None,False,False,459.0,282.0,438.0,57910_001164
532327,57910_001164_Sideline_10,57910,1164,Sideline,57910_001164_Sideline.mp4,10,V77,463,15,298,18,None,False,False,471.0,307.0,413.0,57910_001164
